,open,high,low,close,adjclose,volume,ticker
2007-12-28,64.5,64.5,63.08000183105469,64.5,64.5,1360.0,AMZ
2007-12-31,,,,,,,AMZ
2008-01-02,63.0099983215332,66.0,63.0099983215332,65.0,65.0,8088.0,AMZ
2008-01-03,65.91999816894531,65.91999816894531,64.80000305175781,65.1500015258789,65.1500015258789,1184.0,AMZ
2008-01-04,65.0,65.30000305175781,60.63999938964844,61.400001525878906,61.400001525878906,9621.0,AMZ
2008-01-07,60.36000061035156,61.0,58.88999938964844,60.380001068115234,60.380001068115234,5135.0,AMZ
2008-01-08,59.65999984741211,62.130001068115234,59.5,62.040000915527344,62.040000915527344,8994.0,AMZ
2008-01-09,60.060001373291016,60.779998779296875,56.70000076293945,56.70000076293945,56.70000076293945,4235.0,AMZ
2008-01-10,57.68000030517578,57.75,56.689998626708984,56.689998626708984,56.689998626708984,2361.0,AMZ
2008-01-11,56.11000061035156,57.2599983215332,56.0099983215332,56.0099983215332,56.0099983215332,1025.0,AMZ
2008-01-14,54.31999969482422,55.310001373291016,53.36000061035156,54.5,54.5,9181.0,AMZ
2008-01-15,55.869998931884766,55.869998931884766,53.099998474121094,53.099998474121094,53.099998474121094,3236.0,AMZ
2008-01-16,52.5,54.22999954223633,52.220001220703125,54.22999954223633,54.22999954223633,2263.0,AMZ
2008-01-17,55.54999923706055,55.54999923706055,54.5,54.68000030517578,54.68000030517578,12740.0,AMZ
2008-01-18,53.650001525878906,55.970001220703125,53.650001525878906,55.970001220703125,55.970001220703125,1560.0,AMZ
2008-01-22,49.22999954223633,53.56999969482422,47.5,53.56999969482422,53.56999969482422,5701.0,AMZ
2008-01-23,54.630001068115234,54.810001373291016,49.720001220703125,49.720001220703125,49.720001220703125,2584.0,AMZ
2008-01-24,50.47999954223633,51.0,49.84000015258789,50.93000030517578,50.93000030517578,1800.0,AMZ
2008-01-25,53.0,54.5099983215332,52.459999084472656,52.70000076293945,52.70000076293945,10951.0,AMZ
2008-01-28,54.099998474121094,54.099998474121094,51.5099983215332,51.959999084472656,51.959999084472656,8593.0,AMZ
2008-01-29,51.939998626708984,52.0,49.869998931884766,49.869998931884766,49.869998931884766,9149.0,AMZ
2008-01-30,51.0,51.0,48.79999923706055,51.0,51.0,7219.0,AMZ
2008-01-31,44.2400016784668,50.58000183105469,43.5,50.0,50.0,15966.0,AMZ
2008-02-01,52.0099983215332,53.18000030517578,50.0099983215332,50.369998931884766,50.369998931884766,15840.0,AMZ
2008-02-04,50.599998474121094,51.0,49.5099983215332,50.79999923706055,50.79999923706055,2871.0,AMZ
2008-02-05,50.13999938964844,50.849998474121094,49.75,49.75,49.75,1783.0,AMZ
2008-02-06,49.5,49.5,48.70000076293945,48.84000015258789,48.84000015258789,1826.0,AMZ
2008-02-07,46.75,47.90999984741211,45.79999923706055,47.869998931884766,47.869998931884766,3405.0,AMZ
2008-02-08,48.650001525878906,51.060001373291016,47.58000183105469,50.400001525878906,50.400001525878906,16857.0,AMZ
2008-02-11,50.79999923706055,51.04999923706055,50.5,51.04999923706055,51.04999923706055,3040.0,AMZ
2008-02-12,52.0,52.5,51.31999969482422,52.119998931884766,52.119998931884766,1860.0,AMZ
2008-02-13,51.2599983215332,51.97999954223633,50.65999984741211,51.97999954223633,51.97999954223633,3426.0,AMZ
2008-02-14,53.099998474121094,53.75,51.650001525878906,51.650001525878906,51.650001525878906,2639.0,AMZ
2008-02-15,52.119998931884766,52.5,49.900001525878906,49.900001525878906,49.900001525878906,1661.0,AMZ
2008-02-19,50.439998626708984,50.439998626708984,49.75,49.75,49.75,4239.0,AMZ
2008-02-20,48.209999084472656,49.900001525878906,48.099998474121094,49.900001525878906,49.900001525878906,2420.0,AMZ
2008-02-21,50.31999969482422,50.31999969482422,49.33000183105469,49.33000183105469,49.33000183105469,1511.0,AMZ
2008-02-22,47.959999084472656,48.119998931884766,46.459999084472656,48.0,48.0,4786.0,AMZ
2008-02-25,49.20000076293945,49.5,48.459999084472656,48.459999084472656,48.459999084472656,519.0,AMZ
2008-02-26,49.59000015258789,49.59000015258789,47.40999984741211,47.40999984741211,47.40999984741211,1842.0,AMZ
2008-02-27,48.08000183105469,48.08000183105469,46.38999938964844,46.869998931884766,46.869998931884766,557.0,AMZ
2008-02-28,47.36000061035156,47.36000061035156,44.900001525878906,45.15999984741211,45.15999984741211,325.0,AMZ
2008-02-29,44.45000076293945,44.900001525878906,43.31999969482422,43.31999969482422,43.31999969482422,2471.0,AMZ
2008-03-03,41.88999938964844,42.29999923706055,41.029998779296875,41.72999954223633,41.72999954223633,3726.0,AMZ
2008-03-04,41.209999084472656,41.209999084472656,40.5,40.5,40.5,775.0,AMZ
2008-03-05,43.11000061035156,43.25,42.880001068115234,43.25,43.25,2271.0,AMZ
2008-03-06,41.5,42.34000015258789,41.5,42.18000030517578,42.18000030517578,1200.0,AMZ
2008-03-07,41.04999923706055,41.939998626708984,40.06999969482422,41.63999938964844,41.63999938964844,2726.0,AMZ
2008-03-10,41.43000030517578,42.349998474121094,41.38999938964844,41.61000061035156,41.61000061035156,1660.0,AMZ
2008-03-11,41.88999938964844,43.16999816894531,41.599998474121094,42.45000076293945,42.45000076293945,6056.0,AMZ
2008-03-12,44.20000076293945,44.22999954223633,42.849998474121094,43.52000045776367,43.52000045776367,4638.0,AMZ
2008-03-13,41.970001220703125,42.119998931884766,41.970001220703125,42.119998931884766,42.119998931884766,530.0,AMZ
2008-03-14,44.130001068115234,44.61000061035156,43.13999938964844,43.5,43.5,286.0,AMZ
2008-03-17,42.70000076293945,42.70000076293945,40.9900016784668,41.91999816894531,41.91999816894531,10153.0,AMZ
2008-03-18,43.34000015258789,44.20000076293945,42.68000030517578,43.90999984741211,43.90999984741211,1359.0,AMZ
2008-03-19,46.779998779296875,46.91999816894531,44.27000045776367,46.86000061035156,46.86000061035156,4388.0,AMZ
2008-03-20,45.279998779296875,45.83000183105469,45.279998779296875,45.83000183105469,45.83000183105469,1115.0,AMZ
2008-03-24,,,,,,,AMZ
2008-03-25,49.0,49.59000015258789,47.779998779296875,48.290000915527344,48.290000915527344,3793.0,AMZ
2008-03-26,47.52000045776367,47.90999984741211,47.34000015258789,47.34000015258789,47.34000015258789,860.0,AMZ
2008-03-27,46.72999954223633,46.79999923706055,45.95000076293945,45.95000076293945,45.95000076293945,709.0,AMZ
2008-03-28,45.0099983215332,46.02000045776367,45.0099983215332,45.31999969482422,45.31999969482422,4452.0,AMZ
